"","year","mean_snow_water_equiv_mm","accum_snow_water_equiv_mm","max_snow_water_equiv_mm","sd_snow_water_equiv_mm"
"1",1967,69.8913043478261,6430,178,67.2174520316014
"2",1968,39.2282608695652,3609,147,47.6168552807963
"3",1969,50.2608695652174,4624,178,49.7898594126801
"4",1970,21.3152173913043,1961,84,27.2214885011081
"5",1971,78.8152173913043,7251,284,86.4140212152495
"6",1972,85.3152173913043,7849,239,74.8360742399314
"7",1973,37.445652173913,3445,117,39.5764288074659
"8",1974,95.5108695652174,8787,221,78.3077185317841
"9",1975,16,1472,76,22.0129831820094
"10",1976,83.75,7705,246,93.738310626557
"11",1977,4.66304347826087,429,25,7.84923482504812
"12",1978,39.695652173913,3652,178,52.9529625670268
"13",1979,47.1847826086956,4341,170,52.8345810307934
"14",1980,24.9891304347826,2299,71,23.7479875678185
"15",1981,26.1847826086957,2409,97,33.4969013977252
"16",1982,32.8804347826087,3025,140,40.8618262411867
"17",1983,73.3695652173913,6750,213,71.4614654311478
"18",1984,56.4130434782609,5190,196,67.4566449571665
"19",1985,94.3913043478261,8684,221,70.7352215795381
"20",1986,80.1304347826087,7372,180,71.4501620498634
"21",1987,33.1739130434783,3052,64,28.6258964812457
"22",1988,19.3152173913043,1777,71,25.6818785676868
"23",1989,52.3695652173913,4818,150,54.1221080523354
"24",1990,17.4565217391304,1606,38,14.605744048056
"25",1991,36.8695652173913,3392,99,29.6504238582473
"26",1992,88.6521739130435,8156,170,63.5524244585746
"27",1993,58.5760869565217,5389,211,55.5253102757934
"28",1994,17.804347826087,1638,58,23.411859083034
"29",1995,77,7084,224,85.8251480858381
"30",1996,17.8913043478261,1646,51,15.1443287334063
"31",1997,78.5434782608696,7226,302,79.7201717332279
"32",1998,22.9891304347826,2115,71,24.0861524054193
"33",1999,53.4021739130435,4913,155,57.5366218365749
"34",2000,20.8369565217391,1917,81,30.2365317120881
"35",2001,16,1472,64,21.32325769392
"36",2002,31.4021739130435,2889,114,42.3133418240757
"37",2003,25.8369565217391,2377,86,24.6408385997552
"38",2004,48.1739130434783,4432,160,49.5730360720316
"39",2005,32.695652173913,3008,94,26.4881226256097
"40",2006,53.5869565217391,4930,160,50.8071449881239
"41",2007,33.1521739130435,3050,107,34.8131384768277
"42",2008,38.8586956521739,3575,135,46.3608828865051
"43",2009,19,1748,122,31.6213865589744
"44",2010,26.6086956521739,2448,71,26.6779558839899
"45",2011,55.3695652173913,5094,190,63.9731601329128
"46",2012,40.3695652173913,3714,119,38.2762421339504
"47",2013,33.3478260869565,3068,112,38.7500967124234
"48",2014,45.75,4209,119,43.2789634963533
"49",2015,35.7065217391304,3285,112,39.3112510929635
"50",2016,47.9565217391304,4412,150,49.8655143103837
"51",2017,30.6304347826087,2818,140,42.6902251959557
"52",2018,26.0153846153846,1691,79,29.0384940142457
